"Subnum","ChoiceSet","PropOptimal","RT"
1,"AB",0.62,1438.28
1,"CD",0.72,1294.62
1,"CA",0.04,1752.32
1,"CB",0.72,2113.2
1,"AD",0.96,1259.4
1,"BD",1,1774.08
2,"AB",0.68,820.48
2,"CD",0.6,816.7
2,"CA",0,860.6
2,"CB",1,1112.24
2,"AD",1,926.72
2,"BD",0,997.92
3,"AB",0.7,955.61
3,"CD",0.9,1224.98
3,"CA",0,1267.2
3,"CB",0.84,1553.48
3,"AD",1,1290.16
3,"BD",0.96,1427.24
4,"AB",0.61,841.74
4,"CD",0.64,935.82
4,"CA",0.48,1505.92
4,"CB",0.44,1006.56
4,"AD",0.44,1151.4
4,"BD",0.6,790.08
5,"AB",0.81,917.75
5,"CD",0.62,1964.64
5,"CA",0,1117.2
5,"CB",0.16,1404.24
5,"AD",1,1299.8
5,"BD",0.04,1247.76
6,"AB",0.46,1450.13
6,"CD",0.44,1035.6
6,"CA",1,918.84
6,"CB",1,1182.36
6,"AD",0,1179.08
6,"BD",0,1007.32
7,"AB",0.95,1048.53
7,"CD",0.94,1289.46
7,"CA",0.04,1669.36
7,"CB",0.96,1565.2
7,"AD",0.84,1792.64
7,"BD",0.04,2000.6
8,"AB",0.78,1347.79
8,"CD",0.88,1252.24
8,"CA",0,1444.52
8,"CB",0.84,1647.2
8,"AD",1,1144.8
8,"BD",0.6,1519.36
9,"AB",0.52,799.21
9,"CD",0.4,954.64
9,"CA",0.64,1582.28
9,"CB",0.2,1008.8
9,"AD",0.32,1305.84
9,"BD",0.6,895.44
10,"AB",0.53,806.81
10,"CD",0.48,995.16
10,"CA",0,1280.92
10,"CB",1,1255.48
10,"AD",1,1187.56
10,"BD",0,1260.92
11,"AB",0.82,838.77
11,"CD",0.92,1091.38
11,"CA",0.04,1086.44
11,"CB",0.92,1091.88
11,"AD",1,953.08
11,"BD",0.36,1313.12
12,"AB",0.87,991.9
12,"CD",0.94,1378.04
12,"CA",0,1225.8
12,"CB",0.96,1638.92
12,"AD",0.96,1145.64
12,"BD",0,1649.48
13,"AB",0.78,890.42
13,"CD",0.72,931.16
13,"CA",0.04,1142.84
13,"CB",1,1104.64
13,"AD",0.92,1065.84
13,"BD",0.04,1198.4
14,"AB",0.87,1102.11
14,"CD",0.9,1039.78
14,"CA",0.12,1267.4
14,"CB",0.88,1211.84
14,"AD",0.8,979.72
14,"BD",0.8,1793.08
15,"AB",0.9,1073.28
15,"CD",0.86,1068.18
15,"CA",0.24,2140.92
15,"CB",0.96,1588.68
15,"AD",0.96,1307.24
15,"BD",1,1273.96
16,"AB",0.81,935.91
16,"CD",0.84,1374.74
16,"CA",0.92,968.92
16,"CB",1,963.72
16,"AD",0,1033.2
16,"BD",0.16,1058.12
17,"AB",0.83,762.33
17,"CD",0.86,993.92
17,"CA",0.04,1254.64
17,"CB",0.96,1317.96
17,"AD",1,880.56
17,"BD",1,1397.2
18,"AB",0.52,1061.81
18,"CD",0.44,1278.16
18,"CA",0,1085.64
18,"CB",1,1216.84
18,"AD",1,1255.36
18,"BD",0,988.32
19,"AB",0.81,1058.38
19,"CD",0.88,1347.14
19,"CA",0,1282.16
19,"CB",0.8,2416.24
19,"AD",1,2379.52
19,"BD",0.96,4587.96
20,"AB",0.7,1441.13
20,"CD",0.68,1494.34
20,"CA",0.56,1577.08
20,"CB",0.76,1411.16
20,"AD",0.72,1915.56
20,"BD",0.48,2170.32
21,"AB",0.74,1586.27
21,"CD",0.84,1500.12
21,"CA",0,1515.92
21,"CB",1,1433.64
21,"AD",1,1224.72
21,"BD",0.36,2782.52
22,"AB",0.73,1391.23
22,"CD",0.66,1720.72
22,"CA",0.08,1508.52
22,"CB",1,1374.28
22,"AD",1,1633.48
22,"BD",0.04,1583.88
23,"AB",0.6,1037.83
23,"CD",0.56,1186.86
23,"CA",0.56,855.96
23,"CB",0.64,964.4
23,"AD",0.68,1140
23,"BD",0.36,1066.16
24,"AB",0.8,1968.96
24,"CD",0.68,1725.72
24,"CA",0.04,1065.16
24,"CB",0.28,1981.44
24,"AD",1,1442.96
24,"BD",1,998.8
25,"AB",0.69,1469.15
25,"CD",0.74,1648.88
25,"CA",0,1598.76
25,"CB",0.96,1731.76
25,"AD",1,1440.68
25,"BD",1,2103.32
26,"AB",0.77,1398.2
26,"CD",0.78,1627.92
26,"CA",0.48,1324.84
26,"CB",1,1140.4
26,"AD",1,1278
26,"BD",0.84,1216.04
27,"AB",0.71,868.06
27,"CD",0.76,1099.58
27,"CA",0,917.6
27,"CB",1,1207.64
27,"AD",0.96,739.88
27,"BD",0.16,1465.2
28,"AB",0.35,727.16
28,"CD",0.34,906.12
28,"CA",0.44,842.56
28,"CB",0.96,783.16
28,"AD",0.56,680.32
28,"BD",0,628.28
29,"AB",0.56,870.87
29,"CD",0.7,1136.4
29,"CA",0.52,1226.88
29,"CB",0.72,1289.08
29,"AD",1,1171.96
29,"BD",1,879.76
30,"AB",0.9,1092.66
30,"CD",0.8,1187.22
30,"CA",0,1235.52
