"Subnum","ChoiceSet","PropOptimal","RT"
30,"CB",0.44,1173.16
30,"AD",0.84,1000.16
30,"BD",0.48,1376.24
31,"AB",0.81,957.93
31,"CD",0.8,959.36
31,"CA",0.28,933.2
31,"CB",0.64,1048.28
31,"AD",0.96,896.68
31,"BD",0.8,1293.44
32,"AB",0.51,1152.29
32,"CD",0.56,1376.06
32,"CA",0.4,1430.44
32,"CB",0.28,858
32,"AD",0.56,1075.68
32,"BD",0.88,978.44
33,"AB",0.99,812.11
33,"CD",0.98,1083.38
33,"CA",0,1329.72
33,"CB",1,1325.72
33,"AD",1,1141.64
33,"BD",0,1467.08
34,"AB",0.68,887.01
34,"CD",0.54,962.06
34,"CA",0.56,921.76
34,"CB",0.68,934.8
34,"AD",0.12,704.72
34,"BD",0.36,934.72
35,"AB",0.71,1609.18
35,"CD",0.5,1739.5
35,"CA",0.08,1863.64
35,"CB",1,1466.96
35,"AD",0.92,1611.4
35,"BD",0,1367.48
36,"AB",0.43,952.57
36,"CD",0.44,1079.28
36,"CA",0.52,1189.92
36,"CB",0.36,1059
36,"AD",0.48,1149.6
36,"BD",0.64,1314.72
37,"AB",0.32,697.93
37,"CD",0.18,740.06
37,"CA",0.32,884.6
37,"CB",0.28,688.84
37,"AD",0.6,799.04
37,"BD",0.6,577.68
38,"AB",0.98,1151.83
38,"CD",0.96,1459
38,"CA",0,1341.84
38,"CB",1,1458.48
38,"AD",1,1276.64
38,"BD",0,1095.16
39,"AB",0.86,1148.77
39,"CD",0.92,1417.74
39,"CA",0.8,1372.44
39,"CB",0,1124.56
39,"AD",0.36,1653.08
39,"BD",0.72,1685.52
40,"AB",0.65,1518.09
40,"CD",0.6,1372.7
40,"CA",0.6,2028.4
40,"CB",0.56,1687.72
40,"AD",0.64,1818.64
40,"BD",0.4,1881.08
41,"AB",0.97,925.32
41,"CD",0.96,1045.96
41,"CA",1,1051.92
41,"CB",1,778.76
41,"AD",0,816.08
41,"BD",0,915.12
42,"AB",0.64,1265.34
42,"CD",0.7,1450.18
42,"CA",0.28,597.76
42,"CB",0.84,917.96
42,"AD",0.8,866.56
42,"BD",0.28,1080.68
43,"AB",0.44,1750.72
43,"CD",0.56,1692.42
43,"CA",0.48,1094.96
43,"CB",0.4,1894.28
43,"AD",0.36,2404.36
43,"BD",0.72,1966.32
44,"AB",0.82,1037.04
44,"CD",0.76,1022.88
44,"CA",0.16,1416.36
44,"CB",1,1191.12
44,"AD",1,1405
44,"BD",0.04,1772.68
45,"AB",0.43,1429.94
45,"CD",0.48,1289.2
45,"CA",1,1501.6
45,"CB",0.08,1377.2
45,"AD",0,1815
45,"BD",0.96,1819.28
46,"AB",0.77,1443.18
46,"CD",0.34,1257.06
46,"CA",0.64,836.64
46,"CB",0.76,764.6
46,"AD",0.32,968.48
46,"BD",0.32,1221.04
47,"AB",0.67,1165.99
47,"CD",0.42,1154.96
47,"CA",0.24,1252.36
47,"CB",0.64,1244.52
47,"AD",0.72,1032.76
47,"BD",0.36,1070.76
48,"AB",0.72,1285.69
48,"CD",0.5,1516.06
48,"CA",0,1122.56
48,"CB",0.84,1361.56
48,"AD",0.8,1253.16
48,"BD",0.04,1207.28
49,"AB",0.52,881.5
49,"CD",0.7,1070.2
49,"CA",0.2,818.8
49,"CB",0.04,767.68
49,"AD",1,901.28
49,"BD",0.8,763.08
50,"AB",0.6,963.46
50,"CD",0.64,1086.1
50,"CA",1,1249.32
50,"CB",0.6,1367.68
50,"AD",0.04,1342
50,"BD",0.16,2863.72
51,"AB",0.28,1326.93
51,"CD",0.8,1675.32
51,"CA",0.32,1523.92
51,"CB",0.28,1301.92
51,"AD",0.8,1151.36
51,"BD",0.96,891.96
52,"AB",0.94,2147.96
52,"CD",0.6,1797.56
52,"CA",0,819.64
52,"CB",0.4,1122.48
52,"AD",1,659.76
52,"BD",1,1026.04
53,"AB",0.52,1562.65
53,"CD",0.48,1532.88
53,"CA",0.4,2145
53,"CB",0.8,2067.76
53,"AD",0.52,1545.08
53,"BD",0.56,2153.56
54,"AB",0.57,1266.87
54,"CD",0.4,1126.48
54,"CA",0,1189.88
54,"CB",0,1138.16
54,"AD",0.08,1171.84
54,"BD",0.56,1216.24
55,"AB",0.58,1055.53
55,"CD",0.4,1279.06
55,"CA",0.44,1008.96
55,"CB",0.24,870.44
55,"AD",0.28,878.12
55,"BD",0.52,866.08
56,"AB",0.68,881.88
56,"CD",0.62,1135.94
56,"CA",0.08,1030.48
56,"CB",0.8,1238.56
56,"AD",0.96,910.68
56,"BD",0.12,1346.96
57,"AB",0.41,1104.35
57,"CD",0.56,746.2
57,"CA",0.6,1442.96
57,"CB",0.56,1105.36
57,"AD",0.56,1294.92
57,"BD",0.64,1080.44
58,"AB",0.88,1097.57
58,"CD",0.9,1350.22
58,"CA",0.96,2274.8
58,"CB",1,1674.08
58,"AD",0.16,1297.64
58,"BD",0,1152.52
59,"AB",0.52,1255.63
59,"CD",0.4,1460.58
59,"CA",0.64,1123.44
59,"CB",0.8,1442.24
59,"AD",0.44,1303.16
59,"BD",0.04,988.8
60,"AB",0.68,1903.66
60,"CD",0.56,1599.12
60,"CA",0.28,934.16
60,"CB",0.6,1210.84
60,"AD",0.84,1099.84
60,"BD",0.52,1351.48
61,"AB",0.89,1088.3
61,"CD",0.12,1340.88
61,"CA",0.88,1191.88
61,"CB",0.96,1376.36
61,"AD",0,1453.96
61,"BD",0.04,1712.48
62,"AB",0.86,1616.03
62,"CD",0.82,1477.22
62,"CA",0.92,1158.96
62,"CB",0.96,1172.64
62,"AD",0.04,1060.64
62,"BD",0.04,1087.04
63,"AB",0.83,832.86
63,"CD",0.86,1146.84
63,"CA",1,1511.36
63,"CB",1,1514.2
63,"AD",1,1239.48
63,"BD",0.96,1708.8
64,"AB",0.97,934.39
64,"CD",0.04,1084.3
64,"CA",0,952.32
64,"CB",0,1117.2
64,"AD",0.8,1095.36
64,"BD",0.08,1094.56
65,"AB",0.58,2906.53
65,"CD",0.48,4441.1
65,"CA",0.36,3010.52
65,"CB",0.32,2984.88
65,"AD",0.36,3460.32
65,"BD",0.52,4258.44
66,"AB",0.48,5090.47
66,"CD",0.54,2597.12
66,"CA",0.88,1308.84
66,"CB",0.84,1953.12
66,"AD",0.28,1814.16
66,"BD",0.8,1831.56
67,"AB",0.76,1040.03
67,"CD",0.56,1019.64
67,"CA",0,903.88
67,"CB",1,1310.96
67,"AD",0.92,1030.08
67,"BD",0,1392.68
68,"AB",0.56,996.25
68,"CD",0.32,998.32
68,"CA",0.8,828.12
68,"CB",0.84,882.52
68,"AD",0.12,1140.68
68,"BD",0.16,905.28
69,"AB",0.73,907.65
69,"CD",0.66,1355.38
69,"CA",1,1338.32
69,"CB",1,796.52
69,"AD",0.04,730.8
69,"BD",0,802.08
70,"AB",0.84,1400.51
70,"CD",0.9,1411.54
70,"CA",0.08,1292.32
70,"CB",1,951.68
70,"AD",1,1098.24
70,"BD",0,1416.64
71,"AB",0.5,1475.35
71,"CD",0.64,1712.42
71,"CA",0.92,2076.12
71,"CB",0.12,1796.72
71,"AD",0.24,2273.24
71,"BD",0.88,1857.84
72,"AB",0.54,1831.3
72,"CD",0.72,1564.06
72,"CA",0.2,1360.96
72,"CB",0.08,720.52
72,"AD",0.92,971.28
72,"BD",0.96,839.96
73,"AB",0.56,2016.83
73,"CD",0.56,1601.48
73,"CA",0.52,1160.92
73,"CB",0.52,1266.64
73,"AD",0.6,1085.92
73,"BD",0.56,1433.92
74,"AB",0.72,875.43
74,"CD",0.66,1064.24
74,"CA",0.28,810.76
74,"CB",0.4,1214.4
74,"AD",0.28,1079.28
74,"BD",0.04,969.68
75,"AB",1,982.22
75,"CD",1,1175.74
75,"CA",0,1121.52
75,"CB",1,1680.72
75,"AD",1,989.52
75,"BD",1,1131.84
76,"AB",0.61,857.17
76,"CD",0.76,1203.86
76,"CA",0.88,1198.64
76,"CB",1,1020.24
76,"AD",0,1016.6
76,"BD",0.04,776.52
77,"AB",0.86,1401.09
77,"CD",0.2,1782.16
77,"CA",0,1382.44
77,"CB",0,1293.68
77,"AD",1,1142.8
77,"BD",0.88,1081.8
78,"AB",0.57,746.1
78,"CD",0.54,1039.4
78,"CA",0.16,904.76
78,"CB",0.24,784.8
78,"AD",0.36,746.2
78,"BD",0.76,795.32
79,"AB",0.73,890.86
79,"CD",0.6,1004.64
79,"CA",0.2,1855.36
79,"CB",0.2,694.88
79,"AD",0.8,1015.48
79,"BD",0.88,861.16
80,"AB",0.62,780.08
80,"CD",0.2,958.04
80,"CA",0.12,1317.68
80,"CB",0.28,1656.64
80,"AD",0.72,1644.56
80,"BD",0.76,953.28
81,"AB",0.53,737.5
81,"CD",0.58,803.72
81,"CA",0.16,650.4
81,"CB",0.08,709.8
81,"AD",0.68,533.12
81,"BD",0.88,573.52
82,"AB",0.69,833.27
82,"CD",0.7,873.12
82,"CA",0.8,1205.68
82,"CB",0.96,1246.92
82,"AD",0.36,1228.72
82,"BD",0.24,1132.24
83,"AB",0.93,956.21
83,"CD",0.82,1119.48
83,"CA",0,1187.4
83,"CB",1,1201.36
83,"AD",0.88,1473.76
83,"BD",0.04,1058.2
84,"AB",0.56,1043.14
84,"CD",0.38,959.82
84,"CA",0.44,1046.2
84,"CB",0.56,634.84
84,"AD",0.6,758.68
84,"BD",0.52,706.2
85,"AB",0.54,1376.32
85,"CD",0.44,1741.84
85,"CA",0.52,1882.2
85,"CB",0.4,702.64
85,"AD",0.36,889.88
85,"BD",0.48,1805.72
86,"AB",0.95,733.83
86,"CD",0.92,851.54
86,"CA",0.12,1347.04
86,"CB",0.84,1150.8
86,"AD",1,705.96
86,"BD",1,1161.2
87,"AB",0.96,797.96
87,"CD",1,911.94
87,"CA",0.36,635.04
87,"CB",0.36,702.72
87,"AD",0.96,782.12
87,"BD",1,889.52
88,"AB",0.74,1145.01
88,"CD",0.72,1403.56
88,"CA",0,1094.92
88,"CB",0.04,1049.12
88,"AD",0.96,1110.36
88,"BD",0.96,1196
89,"AB",0.8,1721.88
89,"CD",0.58,2098.24
89,"CA",0.04,3115.44
89,"CB",0.28,2832.2
89,"AD",0.36,2925.4
89,"BD",0.2,2682.52
90,"AB",0.78,1522
90,"CD",0.84,1388.72
90,"CA",0.08,1031.6
90,"CB",1,1152.96
90,"AD",0.84,920.36
90,"BD",0.04,1372.32
91,"AB",0.98,1516.3
91,"CD",0.98,1765.54
91,"CA",0.92,2410.04
91,"CB",0.84,2368.96
91,"AD",0.32,2387.84
91,"BD",0.04,2710.36
92,"AB",0.71,1040.58
92,"CD",0.56,1115.96
92,"CA",0.2,821.08
92,"CB",0.28,853.36
92,"AD",0.76,768.24
92,"BD",0.56,993.12
93,"AB",0.74,999.69
93,"CD",0.62,1121.18
93,"CA",0.96,2083.96
93,"CB",1,1092
93,"AD",1,2116.28
93,"BD",0,2241.8
94,"AB",0.85,889.27
94,"CD",0.88,878.3
94,"CA",0.96,803.2
94,"CB",1,962.56
94,"AD",1,891.32
94,"BD",1,1395
95,"AB",0.8,825.75
95,"CD",0.94,931.36
95,"CA",0.36,1028.68
95,"CB",0.68,1478.28
95,"AD",0.96,797.04
95,"BD",0.96,989.92
96,"AB",0.71,1118.55
96,"CD",0.88,997.98
96,"CA",0.84,1676.88
96,"CB",0.92,1646.84
96,"AD",0.96,1612.48
96,"BD",0.64,1733.84
97,"AB",0.73,758.6
97,"CD",0.72,866.98
97,"CA",0,703.72
97,"CB",0.84,1793.12
97,"AD",1,1076.12
97,"BD",0.2,1499.88
98,"AB",0.87,1018.6
98,"CD",0.88,1158.7
98,"CA",0.08,1249.24
98,"CB",0,1672.88
98,"AD",0.96,1669.44
98,"BD",0.92,1605.56
99,"AB",0.6,945.44
99,"CD",0.62,1008.94
99,"CA",0.52,762.48
99,"CB",0.52,965.44
99,"AD",0.48,922
99,"BD",0.36,879.24
100,"AB",0.86,755.82
100,"CD",0.86,901.48
100,"CA",0.96,960.04
100,"CB",1,939.56
100,"AD",0.96,1089.48
100,"BD",0.96,1146.2
101,"AB",0.57,1182.27
101,"CD",0.42,2206.94
101,"CA",1,770.16
101,"CB",1,929.48
101,"AD",0,1669.76
101,"BD",0.16,1004.2
102,"AB",0.4,1907.52
102,"CD",0.28,1253.72
102,"CA",0.08,1533.64
102,"CB",0,775.72
102,"AD",0.92,1545.32
102,"BD",0.92,1077.92
103,"AB",0.54,1032.74
103,"CD",0.5,1251.5
103,"CA",0.4,1150.48
103,"CB",0.32,1168.08
103,"AD",0.28,970.96
103,"BD",0.56,1383.28
104,"AB",0.86,697.06
104,"CD",0.86,974.64
104,"CA",1,897.32
104,"CB",1,799.04
104,"AD",0,610.12
104,"BD",0,592.36
105,"AB",0.79,1005.17
105,"CD",0.8,1052.48
105,"CA",0.92,1650.56
105,"CB",1,1210.28
105,"AD",0.84,1956.56
105,"BD",0.08,1329.56
106,"AB",0.57,853.25
106,"CD",0.5,1090.86
106,"CA",0,879.84
106,"CB",0,929
106,"AD",0.96,694.48
106,"BD",0.96,898.24
107,"AB",0.87,923.42
107,"CD",0.72,1063.76
107,"CA",0,892.68
107,"CB",1,1162.8
107,"AD",0.96,982.08
107,"BD",0,1136.2
108,"AB",0.99,674.9
108,"CD",1,1030.12
108,"CA",0.08,796.96
108,"CB",0.96,1253.08
108,"AD",1,833.76
108,"BD",0.04,1138.48
109,"AB",0.7,1678.93
109,"CD",0.82,1748.78
109,"CA",0.48,1261.44
109,"CB",0.64,1584.48
109,"AD",0.72,2159.76
109,"BD",0.56,1832.04
110,"AB",0.8,1330.12
110,"CD",0.58,1493.86
110,"CA",0.88,3158.56
110,"CB",1,750.76
110,"AD",0.16,890.68
110,"BD",0,772
111,"AB",0,964.69
111,"CD",1,1189.36
111,"CA",1,1181
111,"CB",0,1486.24
111,"AD",0,1135
111,"BD",1,1326.56
112,"AB",0.35,2147.42
112,"CD",0.32,1060.18
112,"CA",1,1003.76
112,"CB",0.08,4458.48
112,"AD",0.08,1112.16
112,"BD",0.92,922.32
113,"AB",0.76,926.8
113,"CD",0.86,1209.54
113,"CA",0,1970.2
113,"CB",1,1287.2
113,"AD",1,1448.04
113,"BD",0,1716.72
114,"AB",0.88,1087.41
114,"CD",0.86,1130.64
114,"CA",1,998.64
114,"CB",0.96,797.88
114,"AD",0.16,969.32
114,"BD",0.08,972.32
115,"AB",0.79,884.56
115,"CD",0.88,1115.98
115,"CA",0.44,2223.96
115,"CB",0.92,2227.6
115,"AD",0.92,1435.8
115,"BD",0.96,1819.16
116,"AB",0.79,972.79
116,"CD",0.72,1250.1
116,"CA",0,1481.56
116,"CB",1,1301.88
116,"AD",1,1058.04
116,"BD",0.52,2805.48
117,"AB",0.63,1061
117,"CD",0.6,1508.66
117,"CA",0.08,1229.08
117,"CB",0.12,1494.24
117,"AD",0.52,1277.8
117,"BD",0.28,1586.68
118,"AB",0.62,920.38
118,"CD",0.7,943.1
118,"CA",0.72,1341.4
118,"CB",0.56,777.16
118,"AD",0.64,1016.28
118,"BD",0.48,1073.88
119,"AB",0.68,1375.71
119,"CD",0.28,1316.42
119,"CA",0.24,1694.6
119,"CB",0.44,2494.48
119,"AD",0.68,2980.76
119,"BD",0.24,1490.28
120,"AB",0.47,755.3
120,"CD",0.7,898.88
120,"CA",0.36,1195.48
120,"CB",0.28,886.72
120,"AD",0.6,1005.08
120,"BD",0.72,1017.04
121,"AB",0.8,1011.09
121,"CD",0.7,1015.3
121,"CA",0.12,981.64
121,"CB",0.92,1227.48
121,"AD",1,1087.68
121,"BD",0.04,1456.6
122,"AB",0.93,618.58
122,"CD",0.98,867.66
122,"CA",0,608.6
122,"CB",1,998.84
122,"AD",1,560.6
122,"BD",0.04,696.12
123,"AB",0.51,1353.56
123,"CD",0.52,1311.46
123,"CA",0.72,981.2
123,"CB",0.92,842.48
123,"AD",0.12,922.2
123,"BD",0.16,1215.4
124,"AB",0.75,1083.55
124,"CD",0.84,1373.98
124,"CA",0.44,1374.08
124,"CB",1,1281.2
124,"AD",0.76,1561.32
124,"BD",0.24,1836.04
125,"AB",0.72,871.87
125,"CD",0.96,892.74
125,"CA",0,944.64
125,"CB",1,1161.56
125,"AD",1,1041.2
125,"BD",1,1439.16
126,"AB",0.98,910.97
126,"CD",0.02,1042.28
126,"CA",0,922.52
126,"CB",0,1084.8
126,"AD",1,1166.72
126,"BD",0.08,1077.16
127,"AB",0.4,1026.92
127,"CD",0.82,1140.3
127,"CA",0.96,808.92
127,"CB",0.6,675.68
127,"AD",0.16,856.4
127,"BD",0.32,972.88
128,"AB",0.72,755.72
128,"CD",0.66,877.74
128,"CA",0.08,1102.52
128,"CB",1,1021.88
128,"AD",0.04,1141.76
128,"BD",0,955.48
129,"AB",0.98,744.44
129,"CD",0.96,891.6
129,"CA",0.96,1420.28
129,"CB",1,1277.16
129,"AD",0.88,1317.68
129,"BD",0.08,1658.36
130,"AB",0.35,1089.88
130,"CD",0.62,1353.44
130,"CA",0.64,1026.52
130,"CB",0.44,1413.96
130,"AD",0.36,1212.88
130,"BD",0.4,1381.16
131,"AB",0.77,1259.35
131,"CD",0.74,1441.4
131,"CA",0.12,1290.8
131,"CB",0.96,1752.44
131,"AD",1,989.2
131,"BD",0.08,1534.92
132,"AB",0.68,828.15
132,"CD",0.52,908.84
132,"CA",0.2,1545.6
132,"CB",0.56,957.12
132,"AD",0.72,713.32
132,"BD",0.44,1308.84
133,"AB",0.94,1019.6
133,"CD",0.38,1217.98
133,"CA",0.08,1101.72
133,"CB",0,876.72
133,"AD",0.96,927.28
133,"BD",1,1165.12
134,"AB",0.48,901.97
134,"CD",0.56,1172.96
134,"CA",0.36,1023.52
134,"CB",0.44,1043.6
134,"AD",0.68,1143.08
134,"BD",0.72,933.44
135,"AB",0.6,1114.38
135,"CD",0.76,1308.06
135,"CA",0,1561.92
135,"CB",0.04,955.8
135,"AD",0.92,1126.8
135,"BD",0.96,1099.44
136,"AB",0.84,995.91
136,"CD",0.78,1278.52
136,"CA",0.4,1526.68
136,"CB",0.48,1597.04
136,"AD",0.48,1789.56
136,"BD",0.32,1759.92
137,"AB",0.78,863.78
137,"CD",0.76,951.58
137,"CA",0.88,1268.68
137,"CB",0.96,1118.12
137,"AD",0.84,1168.4
137,"BD",1,1308.52
138,"AB",0.93,815.16
138,"CD",0.92,1067.34
138,"CA",0.12,1446.16
138,"CB",1,1106.96
138,"AD",0.96,1260.84
138,"BD",0,1295.4
139,"AB",0.73,1029.76
139,"CD",0.64,1209.9
139,"CA",0,1399.16
139,"CB",0.96,1957.44
139,"AD",1,1092
139,"BD",0.8,1970.6
140,"AB",0.94,711.52
140,"CD",0.84,1027.04
140,"CA",0.2,671.28
140,"CB",0.08,805.88
140,"AD",0.92,836.12
140,"BD",0.96,967.32
141,"AB",0.62,889.2
141,"CD",0.7,1285.06
141,"CA",0.6,918.56
141,"CB",0.8,923.24
141,"AD",0.88,969.84
141,"BD",0.76,1263.84
142,"AB",0.48,849.37
142,"CD",0.56,889.58
142,"CA",0.4,1451
142,"CB",0.6,1687.32
142,"AD",0.6,1543
142,"BD",0.4,1460.56
143,"AB",0.69,1494.86
143,"CD",0.56,1383.86
143,"CA",0.16,2733.12
143,"CB",0.56,2409.96
143,"AD",0.76,2505.24
143,"BD",0.64,1790.76
144,"AB",0.5,1105.88
144,"CD",0.6,1099.74
144,"CA",0.44,1107.64
144,"CB",0.28,1175.28
144,"AD",0.36,2394.56
144,"BD",0.56,1135.28
145,"AB",0.7,770.39
145,"CD",0.7,870.4
145,"CA",0.36,742.2
145,"CB",0.68,815.52
145,"AD",0.64,900.52
145,"BD",0.68,856.8
146,"AB",0.85,777.6
146,"CD",0.14,1061.48
146,"CA",0,1330.72
146,"CB",1,1386.84
146,"AD",0.92,1180.12
146,"BD",0,1286.68
147,"AB",0.69,860.35
147,"CD",0.7,841.56
147,"CA",0.04,1731.12
147,"CB",0.04,842.28
147,"AD",0.8,680.2
147,"BD",0.72,682.44
148,"AB",0.8,2318.43
148,"CD",0.66,993.98
148,"CA",0.88,857.6
148,"CB",0.8,720.84
148,"AD",0.16,849.36
148,"BD",0.12,998.2
149,"AB",0.87,715.61
149,"CD",0.82,1052.36
149,"CA",0.36,1024.84
149,"CB",0.56,1035.96
149,"AD",0.8,710.92
149,"BD",0.52,828.24
150,"AB",0.94,795.93
150,"CD",0.94,821.4
150,"CA",0,1043.24
150,"CB",1,1281.4
150,"AD",1,1130.88
150,"BD",0,1426.08
151,"AB",0.55,2284.3
151,"CD",0.58,1789.12
151,"CA",0.08,1556.24
151,"CB",0.52,2709.16
151,"AD",0.96,1537.64
151,"BD",0.92,2105.64
152,"AB",0.88,1156.17
152,"CD",0.38,1235.04
152,"CA",0.04,956.72
152,"CB",0.96,1378.52
152,"AD",0.92,984.04
152,"BD",0,1052.52
153,"AB",0.57,1020.78
153,"CD",0.6,1109.4
153,"CA",0,1302.84
153,"CB",1,1080.8
153,"AD",0.96,1028.28
153,"BD",0,1300.32
154,"AB",0.77,998.23
154,"CD",0.7,1209.3
154,"CA",0.32,1187.64
154,"CB",0.76,1129.84
154,"AD",0.92,858.56
154,"BD",0.88,1249.52
155,"AB",0.9,792.3
155,"CD",0.94,873.02
155,"CA",0,1171.68
155,"CB",0.92,1370.72
155,"AD",1,1088.28
155,"BD",1,1310.92
156,"AB",0.95,750.97
156,"CD",0,842.02
156,"CA",0.04,751.84
156,"CB",0.04,839.64
156,"AD",0.92,773.64
156,"BD",0.84,859
157,"AB",0.7,736.28
157,"CD",0.24,763.24
157,"CA",0.44,693.48
157,"CB",0.64,559.56
157,"AD",0.56,541.12
157,"BD",0.44,598.84
158,"AB",0.9,1413.6
158,"CD",0.62,2078.82
158,"CA",0.12,1056.76
158,"CB",0.88,1251.84
158,"AD",0.72,926.56
158,"BD",0.08,1552.08
159,"AB",0.41,724.15
159,"CD",0.5,844.28
159,"CA",0.48,795.76
159,"CB",0.52,711.16
159,"AD",0.8,784.76
159,"BD",0.64,635.28
160,"AB",0.96,756.95
160,"CD",0.94,925.72
160,"CA",0.96,1166.44
160,"CB",0.96,1010.28
160,"AD",1,1033.64
160,"BD",1,1342.2
161,"AB",0.7,844.4
161,"CD",0.84,839.36
161,"CA",1,717.72
161,"CB",1,822.6
161,"AD",1,768.96
161,"BD",1,803.92
162,"AB",0.91,821.21
162,"CD",0.8,1193.06
162,"CA",0,1508.88
162,"CB",1,1320.24
162,"AD",1,1333.2
162,"BD",0.04,1230.76
163,"AB",0.93,853.4
163,"CD",0.92,1029
163,"CA",0.92,1081.24
163,"CB",1,799.2
163,"AD",1,1219.24
163,"BD",1,971.48
164,"AB",0.81,640.1
164,"CD",0.96,1066.34
164,"CA",0,557.36
164,"CB",0,621.12
164,"AD",1,646.04
