participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,158.90182906689446,"[1.6291570586060367, 0.033665532077682636]",[5.00000000e+00 2.76047098e-04],158.90182906689446,321.80365813378893,328.8465799695134
2,131.2233171509803,"[0.8859464083509122, 0.027928057711591125]",[5.00000000e+00 7.07681158e-04],290.12514621787477,266.4466343019606,273.4895561376851
3,120.66439610209498,"[0.12343138969213518, 0.39024650436238617]",[5.00000000e+00 7.92145144e-04],410.78954231996977,245.32879220418997,252.37171403991445
4,168.9515247103595,"[0.343573716349434, 0.35014860835571615]",[0.63791642 0.51623173],579.7410670303293,341.903049420719,348.9459712564435
5,144.28918986757964,"[1.119963854615178, 0.22996903827856507]",[0.84866888 1.        ],724.0302568979089,292.5783797351593,299.62130157088376
6,173.28679513998665,"[1.6445081727772242, 0.9846263482698743]",[0. 0.],897.3170520378956,350.5735902799733,357.6165121156978
7,69.24299643873799,"[0.37331008717408243, 0.8118347116519117]",[2.08630824 0.19078394],966.5600484766336,142.48599287747598,149.52891471320046
8,109.59306862588795,"[1.5049310857751153, 0.3640963872858872]",[5.00000000e+00 6.91380814e-04],1076.1531171025215,223.1861372517759,230.2290590875004
9,173.28568808802117,"[0.5090259531571317, 0.8099937830900593]",[0.00713149 1.        ],1249.4388051905426,350.57137617604235,357.61429801176683
10,133.89591827720582,"[1.0770444455538941, 0.09392763790431735]",[5.0000000e+00 4.1613479e-04],1383.3347234677483,271.79183655441165,278.83475839013613
11,107.60489188888192,"[1.1272910831478256, 0.6714631021145618]",[1.85689317 0.16717911],1490.9396153566302,219.20978377776385,226.25270561348833
12,74.48602536042242,"[1.6420049528914675, 0.7798151714822996]",[2.40667727 0.05450866],1565.4256407170526,152.97205072084483,160.01497255656932
13,119.14433178157873,"[1.530924477065374, 0.08907238843737098]",[4.28464486e+00 1.69482238e-03],1684.5699724986314,242.28866356315746,249.33158539888194
14,106.41446591708119,"[0.09655604221941894, 0.3124112781596087]",[1.58723549 0.3284723 ],1790.9844384157125,216.82893183416238,223.87185366988686
15,108.23208764122195,"[1.802811821778227, 0.45770031221368357]",[2.89373994 0.00902026],1899.2165260569345,220.4641752824439,227.5070971181684
16,147.08113583851824,"[0.6425170811196512, 0.2236753765340943]",[1.59292982 0.07832464],2046.2976618954528,298.1622716770365,305.20519351276096
17,104.7878732017157,"[2.0895452571040045, 0.05197955622782369]",[3.51129169 0.00498989],2151.0855350971688,213.5757464034314,220.61866823915588
18,155.19151156187036,"[0.015175629210936181, 0.15335876646801616]",[4.93808228e+00 3.25173687e-04],2306.277046659039,314.3830231237407,321.4259449594652
19,97.04684034537402,"[2.6078446179495396, 0.28765384597825183]",[3.57860407 0.00463182],2403.3238870044133,198.09368069074804,205.13660252647253
20,155.4458440842873,"[0.8993039014347387, 0.5447878693161153]",[0.97291072 0.43636026],2558.7697310887006,314.8916881685746,321.9346100042991
21,96.76417217360218,"[3.0558377233634273, 0.4787882850555669]",[1.49476979 0.87835012],2655.533903262303,197.52834434720435,204.57126618292884
22,105.46948931695078,"[0.6728862253392948, 0.7339106987586628]",[2.80910248 0.01068574],2761.0033925792536,214.93897863390157,221.98190046962605
23,167.99387915827015,"[0.8584025989990607, 0.009583015319854948]",[1.20431064 0.02090457],2928.997271737524,339.9877583165403,347.0306801522648
24,137.8060082260218,"[0.28081418631990596, 0.24722914510528005]",[5.00000000e+00 3.81627698e-04],3066.8032799635457,279.6120164520436,286.65493828776806
25,125.81742548284397,"[0.7998520868187109, 0.5709666310720806]",[2.02266024 0.02637682],3192.62070544639,255.63485096568795,262.67777280141246
26,123.94158969100819,"[0.3202138195252935, 0.3465439844864856]",[1.17027558 0.37700118],3316.562295137398,251.88317938201638,258.9261012177409
27,102.45285314220153,"[1.0623120712295648, 0.41202634069258415]",[1.61853431 0.28759605],3419.0151482795995,208.90570628440307,215.94862812012755
28,171.3439903912075,"[1.2939591385784581, 0.756717828682602]",[0.32487108 1.        ],3590.359138670807,346.687980782415,353.7309026181395
29,143.78125039342976,"[0.8709382355189449, 0.591192153918355]",[0.99479017 0.8229265 ],3734.140389064237,291.5625007868595,298.605422622584
30,128.43851900411929,"[0.011238253638264917, 0.3803974994325823]",[1.59624161 0.24549495],3862.578908068356,260.87703800823857,267.91995984396306
31,150.81933355606532,"[1.3303506361201016, 0.11313418174766365]",[1.64414316 0.02837802],4013.3982416244216,305.63866711213063,312.6815889478551
32,170.9767756531397,"[4.059512878589232, 0.532571004021119]",[0.37253298 1.        ],4184.375017277562,345.9535513062794,352.9964731420039
33,3.4003090403448866,"[1.2831955673717277, 0.9643391749897178]",[4.36721844 0.05104478],4187.775326317907,10.800618080689773,17.843539916414265
34,162.22076393425795,"[1.5423580336172122, 0.5834691259952481]",[0.7787121 1.       ],4349.996090252164,328.4415278685159,335.4844497042404
35,131.1597524024964,"[0.7121734641720279, 0.8906936866272189]",[5.00000000e+00 5.93052853e-04],4481.155842654661,266.3195048049928,273.3624266407173
36,173.28679513998665,"[1.3437385096632553, 0.34418984442440526]",[0. 0.],4654.442637794647,350.5735902799733,357.6165121156978
37,173.28679513998665,"[2.085312669409047, 0.07250334309405071]",[0. 0.],4827.729432934634,350.5735902799733,357.6165121156978
38,26.202686087941718,"[1.1512331895921712, 0.04823003199172593]",[2.72596539 0.28518527],4853.9321190225755,56.405372175883436,63.44829401160793
39,152.6234810004926,"[0.050546078372481484, 0.09171210612822323]",[0.94415936 0.64248118],5006.555600023068,309.2469620009852,316.2898838367097
40,167.08914269338584,"[0.6618660705938506, 0.022163259019527537]",[0.73381376 0.21650111],5173.644742716454,338.1782853867717,345.22120722249616
41,92.92657550754318,"[1.8924052735268155, 0.5742089404638496]",[2.24199694 0.24132936],5266.571318223997,189.85315101508635,196.89607285081084
42,148.8505636262007,"[2.2990454100131124, 0.02852894354935742]",[5.0000000e+00 4.2574047e-04],5415.421881850198,301.7011272524014,308.7440490881259
43,171.214960863216,"[0.5378000175229547, 0.4661431047340655]",[0.38368277 1.        ],5586.636842713414,346.429921726432,353.47284356215647
44,83.30352400039122,"[1.3218561759548826, 0.9682114903858438]",[1.62013785 0.50677255],5669.940366713805,170.60704800078244,177.64996983650693
45,173.28679513998665,"[4.959394326043497, 0.5790995137241088]",[0. 0.],5843.227161853792,350.5735902799733,357.6165121156978
46,169.9250693679057,"[0.09573016442018967, 0.23967449624976278]",[0.77941991 0.0602834 ],6013.152231221698,343.8501387358114,350.8930605715359
47,163.21257408621787,"[0.18898845086033234, 0.4629697862731841]",[5.00000000e+00 2.31240669e-04],6176.364805307915,330.42514817243574,337.4680700081602
48,142.85664544270068,"[1.3321778625328102, 0.3882399436968119]",[5.00000000e+00 4.12649717e-04],6319.221450750616,289.71329088540136,296.75621272112585
49,166.2098392502641,"[0.7292403221611127, 0.9907317622782891]",[0.75522768 0.42759551],6485.43129000088,336.4196785005282,343.4626003362527
50,163.50654204939224,"[0.36278476005880744, 0.33751665883700777]",[0.73764846 0.63034281],6648.937832050272,331.0130840987845,338.05600593450896
51,173.28457089558867,"[0.03626359169333848, 0.4079531675490299]",[0.02116468 0.31841643],6822.22240294586,350.56914179117734,357.61206362690183
52,94.13552441692381,"[0.6229742728144949, 0.2172013204004568]",[5.00000000e+00 8.20363455e-04],6916.357927362784,192.27104883384763,199.31397066957211
53,171.44435508827402,"[0.23788228867570205, 0.3065350413262653]",[1.91574034 0.00383818],7087.802282451058,346.88871017654805,353.93163201227253
54,173.2414601294265,"[0.887604450211501, 0.5288754169163842]",[0.05924888 1.        ],7261.043742580485,350.482920258853,357.5258420945775
55,173.23704280406744,"[0.1533497160592956, 0.6569258367356454]",[0.06088324 0.94037975],7434.2807853845525,350.4740856081349,357.51700744385937
56,144.54436134090105,"[2.2380198286626305, 0.012439209020982167]",[5.00000000e+00 2.81671703e-04],7578.825146725453,293.0887226818021,300.1316445175266
57,173.28679513998665,"[1.407102858452622, 0.04670364840231167]",[0. 0.],7752.11194186544,350.5735902799733,357.6165121156978
58,53.57068411822448,"[2.640598125105034, 0.9200312004129511]",[1.73977521 0.96853215],7805.682625983664,111.14136823644895,118.18429007217344
59,171.2516099886424,"[0.46337996975446716, 0.6600410588511288]",[0.32922667 1.        ],7976.934235972307,346.5032199772848,353.5461418130093
60,158.90765957831292,"[0.33985415090830806, 0.5588473513539435]",[5.00000000e+00 3.06312634e-04],8135.8418955506195,321.81531915662583,328.8582409923503
61,154.6564468361507,"[0.7174252681432136, 0.524385245180596]",[0.6888886 1.       ],8290.49834238677,313.3128936723014,320.3558155080259
