participant_id,best_nll,best_initial_guess,best_parameters,total_nll,AIC,BIC
1,142.10715672297448,"[2.8234763349578227, 0.4703035783623871, 0.6070091845479855]",[ 0.00188836  0.         -0.99345463],142.10715672297448,290.21431344594896,300.7786961995357
2,125.15454279588512,"[1.3069459330608542, 0.675116193673502, 0.163407140625063]",[ 0.0561425   0.34104703 -1.        ],267.2616995188596,256.3090855917702,266.87346834535697
3,103.78095507801217,"[1.075085158100132, 0.1312623602977283, 0.7134946252652195]",[0.23102296 0.         0.35887718],371.0426545968718,213.56191015602434,224.12629290961107
4,171.0316285584564,"[0.9814078586094066, 0.6701592550799642, 0.6956545720654992]",[0.46333847 0.22290033 0.15444968],542.0742831553282,348.0632571169128,358.62763987049954
5,97.84954228374271,"[1.0761509599245633, 0.8930954878616811, -0.07757098416323838]",[ 0.45892183  0.70940907 -1.        ],639.9238254390709,201.69908456748541,212.26346732107214
6,173.28679513998665,"[0.6680611806029274, 0.18165533827985003, 0.6495152108210895]",[0. 1. 1.],813.2106205790576,352.5735902799733,363.13797303356006
7,74.23047006763015,"[3.4540281370856407, 0.5585127070049347, 0.5399516958092327]",[0.53756366 0.01207442 0.51449901],887.4410906466877,154.4609401352603,165.02532288884703
8,102.52789473127905,"[0.958469284996119, 0.5804993352722085, 0.38143638591520435]",[ 0.14075659  0.03186724 -0.15394614],989.9689853779668,211.0557894625581,221.62017221614482
9,164.07087178448754,"[0.0990287766530934, 0.7416139891117308, -0.3699731026464663]",[ 5.          0.99405268 -0.03922487],1154.0398571624544,334.1417435689751,344.70612632256183
10,122.99656761112462,"[0.9846910707970863, 0.38465811269086025, 0.6886899043547703]",[0.36532663 0.         0.51664581],1277.036424773579,251.99313522224924,262.557517975836
11,94.5064215664779,"[1.4435078192693602, 0.9388508580183598, -0.359367786072339]",[ 1.02387572  0.37277686 -0.20517587],1371.542846340057,195.0128431329558,205.57722588654252
12,82.33025265488561,"[1.9077400403926954, 0.642418907782617, -0.07439730496706476]",[0.31999537 0.0267675  0.12596389],1453.8730989949427,170.66050530977122,181.22488806335795
13,122.91279284628455,"[0.5514656712951277, 0.6246612446506887, 0.7284446106684963]",[0.45180522 0.00354682 0.67577243],1576.785891841227,251.8255856925691,262.3899684461558
14,102.07511273706561,"[2.5586035589193483, 0.5428266322274132, 0.15940886307332458]",[0.52066303 0.01964739 0.43973421],1678.8610045782928,210.15022547413122,220.71460822771795
15,96.02356555316771,"[2.39577448417634, 0.1745485111647146, 0.794607088078884]",[0.75678433 0.13623474 0.05727866],1774.8845701314604,198.04713110633543,208.61151385992216
16,146.20010983966478,"[2.951416499707439, 0.5339563355326236, 0.8004836316313533]",[0.95630958 0.02172128 1.        ],1921.084679971125,298.40021967932955,308.9646024329163
17,99.61052453202907,"[2.6934161834638144, 0.9951677459696363, 0.9066840125126594]",[0.31701109 0.00173597 0.53922701],2020.6952045031542,205.22104906405815,215.78543181764488
18,159.9603864346626,"[0.20144364514339208, 0.6191162238524851, -0.6506613116160727]",[0.06050604 0.         0.11012284],2180.6555909378167,325.9207728693252,336.485155622912
19,86.06636827410738,"[0.11195686117621229, 0.028282058155923218, 0.7284811273949403]",[0.50403774 0.00211776 0.61797626],2266.721959211924,178.13273654821475,188.69711930180148
20,158.06331212500567,"[1.1331059811370703, 0.6345410439507946, 0.4606035032542799]",[0.27504021 0.         0.94421763],2424.78527133693,322.12662425001133,332.6910070035981
